Signal Name,FPGA Pin No.,Description,I/O Standard
HSMC_CLK_IN0,PIN_J14,Dedicated clock input,Depend on JP2
HSMC_CLKIN_n1,PIN_AB27,LVDS RX or CMOS I/O or differential clock input,Depend on JP2
HSMC_CLKIN_n2,PIN_G15,LVDS RX or CMOS I/O or differential clock input,Depend on JP2
HSMC_CLKIN_p1,PIN_AA26,LVDS RX or CMOS I/O or differential clock input,Depend on JP2
HSMC_CLKIN_p2,PIN_H15,LVDS RX or CMOS I/O or differential clock input,Depend on JP2
HSMC_CLK_OUT0,PIN_AD29,Dedicated clock output,Depend on JP2
HSMC_CLKOUT_n1,PIN_E6,LVDS TX or CMOS I/O or differential clock input/output,Depend on JP2
HSMC_CLKOUT_n2,PIN_A10,LVDS TX or CMOS I/O or differential clock input/output,Depend on JP2
HSMC_CLKOUT_p1,PIN_E7,LVDS TX or CMOS I/O or differential clock input/output,Depend on JP2
HSMC_CLKOUT_p2,PIN_A11,LVDS TX or CMOS I/O or differential clock input/output,Depend on JP2
HSMC_D[0],PIN_C10,LVDS TX or CMOS I/O,Depend on JP2
HSMC_D[1],PIN_H13,LVDS RX or CMOS I/O,Depend on JP2
HSMC_D[2],PIN_C9,LVDS TX or CMOS I/O,Depend on JP2
HSMC_D[3],PIN_H12,LVDS RX or CMOS I/O,Depend on JP2
HSMC_SCL,PIN_AA28,Management serial data,Depend on JP2
HSMC_SDA,PIN_AE29,Management serial clock,Depend on JP2
HSMC_GXB_RX_p[0],PIN_AE2,Transceiver RX bit 0,1.5-V PCML
HSMC_GXB_RX_p[1],PIN_AC2,Transceiver RX bit 1,1.5-V PCML
HSMC_GXB_RX_p[2],PIN_AA2,Transceiver RX bit 2,1.5-V PCML
HSMC_GXB_RX_p[3],PIN_W2,Transceiver RX bit 3,1.5-V PCML
HSMC_GXB_RX_p[4],PIN_U2,Transceiver RX bit 4,1.5-V PCML
HSMC_GXB_RX_p[5],PIN_R2,Transceiver RX bit 5,1.5-V PCML
HSMC_GXB_RX_p[6],PIN_N2,Transceiver RX bit 6,1.5-V PCML
HSMC_GXB_RX_p[7],PIN_J2,Transceiver RX bit 7,1.5-V PCML
HSMC_GXB_TX_p[0],PIN_AD4,Transceiver TX bit 0,1.5-V PCML
HSMC_GXB_TX_p[1],PIN_AB4,Transceiver TX bit 1,1.5-V PCML
HSMC_GXB_TX_p[2],PIN_Y4,Transceiver TX bit 2,1.5-V PCML
HSMC_GXB_TX_p[3],PIN_V4,Transceiver TX bit 3,1.5-V PCML
HSMC_GXB_TX_p[4],PIN_T4,Transceiver TX bit 4,1.5-V PCML
HSMC_GXB_TX_p[5],PIN_P4,Transceiver TX bit 5,1.5-V PCML
HSMC_GXB_TX_p[6],PIN_M4,Transceiver TX bit 6,1.5-V PCML
HSMC_GXB_TX_p[7],PIN_H4,Transceiver TX bit 7,1.5-V PCML
HSMC_GXB_RX_n[0],PIN_AE1,Transceiver RX bit 0n,1.5-V PCML
HSMC_GXB_RX_n[1],PIN_AC1,Transceiver RX bit 1n,1.5-V PCML
HSMC_GXB_RX_n[2],PIN_AA1,Transceiver RX bit 2n,1.5-V PCML
HSMC_GXB_RX_n[3],PIN_W1,Transceiver RX bit 3n,1.5-V PCML
HSMC_GXB_RX_n[4],PIN_U1,Transceiver RX bit 4n,1.5-V PCML
HSMC_GXB_RX_n[5],PIN_R1,Transceiver RX bit 5n,1.5-V PCML
HSMC_GXB_RX_n[6],PIN_N1,Transceiver RX bit 6n,1.5-V PCML
